PFSubcategoryIndex,PFID,PFSubcategoryID,PFSubcategoryDescription,PFCategoryIndex
21,ID.DE-P5,5,"Data processing ecosystem parties are routinely assessed using audits, test results, or other forms of evaluations to confirm they are meeting their contractual, interoperability framework, or other obligations.",4
22,GV.PO-P1,1,"Organizational privacy values and policies (e.g., conditions on data processing such as data uses or retention periods, individuals’ prerogatives with respect to data processing) are established and communicated.",5
23,GV.PO-P2,2,Processes to instill organizational privacy values within system/product/service development and operations are established and in place.,5
24,GV.PO-P3,3,Roles and responsibilities for the workforce are established with respect to privacy. ,5
25,GV.PO-P4,4,"Privacy roles and responsibilities are coordinated and aligned with third-party stakeholders (e.g., service providers, customers, partners).",5
26,GV.PO-P5,5,"Legal, regulatory, and contractual requirements regarding privacy are understood and managed.",5
27,GV.PO-P6,6,"Governance and risk management policies, processes, and procedures address privacy risks.",5
28,GV.RM-P1,1,"Risk management processes are established, managed, and agreed to by organizational stakeholders.",6
29,GV.RM-P2,2,Organizational risk tolerance is determined and clearly expressed.,6
30,GV.RM-P3,3,The organization’s determination of risk tolerance is informed by its role(s) in the data processing ecosystem.,6
31,GV.AT-P1,1,The workforce is informed and trained on its roles and responsibilities.,7
32,GV.AT-P2,2,Senior executives understand their roles and responsibilities.,7
33,GV.AT-P3,3,Privacy personnel understand their roles and responsibilities.,7
34,GV.AT-P4,4,"Third parties (e.g., service providers, customers, partners) understand their roles and responsibilities.",7
35,GV.MT-P1,1,"Privacy risk is re-evaluated on an ongoing basis and as key factors, including the organization’s business environment (e.g., introduction of new technologies), governance (e.g., legal obligations, risk tolerance), data processing, and systems/products/services change.",8
36,GV.MT-P2,2,"Privacy values, policies, and training are reviewed and any updates are communicated.",8
37,GV.MT-P3,3,"Policies, processes, and procedures for assessing compliance with legal requirements and privacy policies are established and in place.",8
38,GV.MT-P4,4,"Policies, processes, and procedures for communicating progress on managing privacy risks are established and in place.",8
39,GV.MT-P5,5,"Policies, processes, and procedures are established and in place to receive, analyze, and respond to problematic data actions disclosed to the organization from internal and external sources (e.g., internal discovery, privacy researchers, professional events).",8
40,GV.MT-P6,6,"Policies, processes, and procedures incorporate lessons learned from problematic data actions.",8
41,GV.MT-P7,7,"Policies, processes, and procedures for receiving, tracking, and responding to complaints, concerns, and questions from individuals about organizational privacy practices are established and in place.",8
42,CT.PO-P1,1,"Policies, processes, and procedures for authorizing data processing (e.g., organizational decisions, individual consent), revoking authorizations, and maintaining authorizations are established and in place.",9
43,CT.PO-P2,2,"Policies, processes, and procedures for enabling data review, transfer, sharing or disclosure, alteration, and deletion are established and in place (e.g., to maintain data quality, manage data retention).",9
44,CT.PO-P3,3,"Policies, processes, and procedures for enabling individuals’ data processing preferences and requests are established and in place.",9
45,CT.PO-P4,4,A data life cycle to manage data is aligned and implemented with the system development life cycle to manage systems.,9
46,CT.DM-P1,1,Data elements can be accessed for review.,10
47,CT.DM-P2,2,Data elements can be accessed for transmission or disclosure.,10
48,CT.DM-P3,3,Data elements can be accessed for alteration.,10
49,CT.DM-P4,4,Data elements can be accessed for deletion.,10
50,CT.DM-P5,5,Data are destroyed according to policy.,10
51,CT.DM-P6,6,Data are transmitted using standardized formats.,10
52,CT.DM-P7,7,Mechanisms for transmitting processing permissions and related data values with data elements are established and in place.,10
53,CT.DM-P8,8,"Audit/log records are determined, documented, implemented, and reviewed in accordance with policy and incorporating the principle of data minimization.",10
54,CT.DM-P9,9,Technical measures implemented to manage data processing are tested and assessed.,10
55,CT.DM-P10,10,Stakeholder privacy preferences are included in algorithmic design objectives and outputs are evaluated against these preferences.,10
56,CT.DP-P1,1,"Data are processed to limit observability and linkability (e.g., data actions take place on local devices, privacy-preserving cryptography).",11
57,CT.DP-P2,2,"Data are processed to limit the identification of individuals (e.g., de-identification privacy techniques, tokenization).",11
58,CT.DP-P3,3,"Data are processed to limit the formulation of inferences about individuals’ behavior or activities (e.g., data processing is decentralized, distributed architectures).",11
59,CT.DP-P4,4,System or device configurations permit selective collection or disclosure of data elements. ,11
60,CT.DP-P5,5,Attribute references are substituted for attribute values.,11
61,CM.PO-P1,1,"Transparency policies, processes, and procedures for communicating data processing purposes, practices, and associated privacy risks are established and in place.",12
62,CM.PO-P2,2,"Roles and responsibilities (e.g., public relations) for communicating data processing purposes, practices, and associated privacy risks are established.",12
63,CM.AW-P1,1,"Mechanisms (e.g., notices, internal or public reports) for communicating data processing purposes, practices, associated privacy risks, and options for enabling individuals’ data processing preferences and requests are established and in place.",13
64,CM.AW-P2,2,"Mechanisms for obtaining feedback from individuals (e.g., surveys or focus groups) about data processing and associated privacy risks are established and in place.",13
65,CM.AW-P3,3,System/product/service design enables data processing visibility.,13
66,CM.AW-P4,4,Records of data disclosures and sharing are maintained and can be accessed for review or transmission/disclosure.,13
67,CM.AW-P5,5,"Data corrections or deletions can be communicated to individuals or organizations (e.g., data sources) in the data processing ecosystem.",13
68,CM.AW-P6,6,Data provenance and lineage are maintained and can be accessed for review or transmission/disclosure.,13
69,CM.AW-P7,7,Impacted individuals and organizations are notified about a privacy breach or event.,13
70,CM.AW-P8,8,"Individuals are provided with mitigation mechanisms (e.g., credit monitoring, consent withdrawal, data alteration or deletion) to address impacts of problematic data actions.",13
71,PR.PO-P1,1,"A baseline configuration of information technology is created and maintained incorporating security principles (e.g., concept of least functionality).",14
72,PR.PO-P2,2,Configuration change control processes are established and in place.,14
73,PR.PO-P3,3,"Backups of information are conducted, maintained, and tested.",14
74,PR.PO-P4,4,Policy and regulations regarding the physical operating environment for organizational assets are met.,14
75,PR.PO-P5,5,Protection processes are improved.,14
76,PR.PO-P6,6,Effectiveness of protection technologies is shared.,14
77,PR.PO-P7,7,"Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are established, in place, and managed.",14
78,PR.PO-P8,8,Response and recovery plans are tested.,14
79,PR.PO-P9,9,"Privacy procedures are included in human resources practices (e.g., deprovisioning, personnel screening).",14
80,PR.PO-P10,10,A vulnerability management plan is developed and implemented.,14
81,PR.AC-P1,1,"Identities and credentials are issued, managed, verified, revoked, and audited for authorized individuals, processes, and devices.",15
82,PR.AC-P2,2,Physical access to data and devices is managed.,15
83,PR.AC-P3,3,Remote access is managed,15
84,PR.AC-P4,4,"Access permissions and authorizations are managed, incorporating the principles of least privilege and separation of duties.",15
85,PR.AC-P5,5,"Network integrity is protected (e.g., network segregation, network segmentation).",15
86,PR.AC-P6,6,"Individuals and devices are proofed and bound to credentials, and authenticated commensurate with the risk of the transaction (e.g., individuals’ security and privacy risks and other organizational risks).",15
87,PR.DS-P1,1,Data-at-rest are protected.,16
88,PR.DS-P2,2,Data-in-transit are protected.,16
89,PR.DS-P3,3,"Systems/products/services and associated data are formally managed throughout removal, transfers, and disposition.",16
90,PR.DS-P4,4,Adequate capacity to ensure availability is maintained.,16
91,PR.DS-P5,5,Protections against data leaks are implemented.,16
92,PR.DS-P6,6,"Integrity checking mechanisms are used to verify software, firmware, and information integrity.",16
93,PR.DS-P7,7,The development and testing environment(s) are separate from the production environment.,16
94,PR.DS-P8,8,Integrity checking mechanisms are used to verify hardware integrity.,16
95,PR.MA-P1,1,"Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools.",17
96,PR.MA-P2,2,"Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access.",17
97,PR.PT-P1,1,Removable media is protected and its use restricted according to policy.,18
98,PR.PT-P2,2,The principle of least functionality is incorporated by configuring systems to provide only essential capabilities.,18
99,PR.PT-P3,3,Communications and control networks are protected.,18
100,PR.PT-P4,4,"Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations.",18
