SP80053ControlDetailIndex,SP80053ID,SP80053ControlDetailID,SP80053ControlDetailEnhancement,SP80053ControlDetailEnhancementID,SP80053ControlDetailEnhancementTitle,SP80053ControlDetailShortTitle,SP80053ControlDetailDescription,SP80053ControlDetailAssignment,SP80053ControlDetailTier,SP80053ControlDetailDesignation,SP80053ControlDetailSupplementalGuidance,SP80053ControlDetailReference,SP80053ControlDetailPriority,SP80053ControlDetailAssurance,SP80053ControlDetailBaseline,SP80053ControlDetailBaselineMod,SP80053ControlDetailBaselineHigh,SP80053ControlIndex
31,AC-16d,16d,0,,,,The organization determines the permitted [Assignment: organization-defined values or ranges] for each of the established security attributes.,Assignment: organization-defined values or ranges,Organization,,,,P0,0,0,0,0,14
33,AC-17 (1),17 (1),1,1,Automated Monitoring / Control,Automated Monitoring / Control,The information system monitors and controls remote access methods.,,Information System,,,,P1,0,1,1,1,15
34,AC-17 (2),17 (2),1,2,Protection Of Confidentiality / Integrity Using Encryption,Protection Of Confidentiality / Integrity Using Encryption,The information system implements cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions.,,Information System,,,,P1,0,1,1,1,15
35,AC-17 (3),17 (3),1,3,Managed Access Control Points,Managed Access Control Points,The information system routes all remote accesses through [Assignment: organization-defined number] managed network access control points.,Assignment: organization-defined number,Information System,,,,P1,0,1,1,1,15
36,AC-17 (4)(a),17 (4)(a),1,(4)(a),Privileged Commands / Access,Privileged Commands / Access,The organization authorizes the execution of privileged commands and access to security-relevant information via remote access only for [Assignment: organization-defined needs].,Assignment: organization-defined needs,Organization,,,,P1,0,1,1,1,15
37,AC-17 (4)(b),17 (4)(b),1,(4)(b),Privileged Commands / Access,Privileged Commands / Access,The organization documents the rationale for such access in the security plan for the information system.,,Organization,,,,P1,0,1,1,1,15
38,AC-17 (6),17 (6),1,6,Protection Of Information,Protection Of Information,The organization ensures that users protect information about remote access mechanisms from unauthorized use and disclosure.,,Organization,,,,P1,0,0,0,0,15
39,AC-17 (9),17 (9),1,9,Disconnect / Disable Access,Disconnect / Disable Access,The organization provides the capability to expeditiously disconnect or disable remote access to the information system within [Assignment: organization-defined time period].,Assignment: organization-defined time period,Organization,,,,P1,0,0,0,0,15
40,AC-17a,17a,0,,,,"The organization establishes and documents usage restrictions, configuration/connection requirements, and implementation guidance for each type of remote access allowed.",,Organization,,,,P1,0,1,1,1,15
41,AC-17b,17b,0,,,,The organization authorizes remote access to the information system prior to allowing such connections.,,Organization,,,,P1,0,1,1,1,15
43,AC-18 (1),18 (1),1,1,Authentication And Encryption,Authentication And Encryption,The information system protects wireless access to the system using authentication of [Selection (one or more): users; devices] and encryption.,Selection (one or more): users; devices,Information System,,,,P1,0,1,1,1,16
44,AC-18 (3),18 (3),1,3,Disable Wireless Networking,Disable Wireless Networking,"The organization disables, when not intended for use, wireless networking capabilities internally embedded within information system components prior to issuance and deployment.",,Organization,,,,P1,0,0,0,0,16
45,AC-18 (4),18 (4),1,4,Restrict Configurations By Users,Restrict Configurations By Users,The organization identifies and explicitly authorizes users allowed to independently configure wireless networking capabilities.,,Organization,,,,P1,0,0,0,1,16
46,AC-18 (5),18 (5),1,5,Antennas / Transmission Power Levels,Antennas / Transmission Power Levels,The organization selects radio antennas and calibrates transmission power levels to reduce the probability that usable signals can be received outside of organization-controlled boundaries.,,Organization,,,,P1,0,0,0,1,16
47,AC-18a,18a,0,,,,"The organization establishes usage restrictions, configuration/connection requirements, and implementation guidance for wireless access",,Organization,,,,P1,0,1,1,1,16
48,AC-18b,18b,0,,,,The organization authorizes wireless access to the information system prior to allowing such connections.,,Organization,,,,P1,0,1,1,1,16
50,AC-19 (4)(a),19 (4)(a),1,(4)(a),Restrictions For Classified Information,Restrictions For Classified Information,"The organization prohibits the use of unclassified mobile devices in facilities containing information systems processing, storing, or transmitting classified information unless specifically permitted by the authorizing official.",,Organization,,,,P1,0,0,0,0,17
51,AC-19 (4)(b)(1),19 (4)(b)(1),1,(4)(b),Restrictions For Classified Information,Restrictions For Classified Information,"The organization enforces the following restriction(s) on individuals permitted by the authorizing official to use unclassified mobile devices in facilities containing information systems processing, storing, or transmitting classified information: Connection of unclassified mobile devices to classified information systems is prohibited;",,Organization,,,,P1,0,0,0,0,17
52,AC-19 (4)(b)(2),19 (4)(b)(2),1,(4)(b),Restrictions For Classified Information,Restrictions For Classified Information,"The organization enforces the following restriction(s) on individuals permitted by the authorizing official to use unclassified mobile devices in facilities containing information systems processing, storing, or transmitting classified information: Connection of unclassified mobile devices to unclassified information systems requires approval from the authorizing official;",,Organization,,,,P1,0,0,0,0,17
53,AC-19 (4)(b)(3),19 (4)(b)(3),1,(4)(b),Restrictions For Classified Information,Restrictions For Classified Information,"The organization enforces the following restriction(s) on individuals permitted by the authorizing official to use unclassified mobile devices in facilities containing information systems processing, storing, or transmitting classified information:  Use of internal or external modems or wireless interfaces within the unclassified mobile devices is prohibited.",,Organization,,,,P1,0,0,0,0,17
54,AC-19 (4)(b)(4),19 (4)(b)(4),1,(4)(b),Restrictions For Classified Information,Restrictions For Classified Information,"The organization enforces the following restriction(s) on individuals permitted by the authorizing official to use unclassified mobile devices in facilities containing information systems processing, storing, or transmitting classified information:  Unclassified mobile devices and the information stored on those devices are subject to random reviews and inspections by [Assignment: organization-defined security officials], and if classified information is found, the incident handling policy is followed.",Assignment: organization-defined security officials,Organization,,,,P1,0,0,0,0,17
55,AC-19 (4)(c),19 (4)(c),1,(4)(c),Restrictions For Classified Information,Restrictions For Classified Information,The organization restricts the connection of classified mobile devices to classified information systems in accordance with [Assignment: organization-defined security policies].,Assignment: organization-defined security policies,Organization,,,,P1,0,0,0,0,17
56,AC-19 (5),19 (5),1,5,Full Device / Container-Based  Encryption,Full Device / Container-Based  Encryption,The organization employs [Selection: full-device encryption; container encryption] to protect the confidentiality and integrity of information on [Assignment: organization-defined mobile devices].,Selection: full-device encryption; container encryption,Organization,,,,P1,0,0,1,1,17
57,AC-19a,19a,0,,,,"The organization establishes usage restrictions, configuration requirements, connection requirements, and implementation guidance for organization-controlled mobile devices.",,Organization,,,,P1,0,1,1,1,17
58,AC-19b,19b,0,,,,The organization authorizes the connection of mobile devices to organizational information systems.,,Organization,,,,P1,0,1,1,1,17
60,AC-2 (1),2 (1),1,1,Automated System Account Management,Automated System Account Management,The organization employs automated mechanisms to support the management of information system accounts.,,Organization,,,,P1,0,0,1,1,2
61,AC-2 (10),2 (10),1,10,Shared / Group Account Credential Termination,Shared / Group Account Credential Termination,The information system terminates shared/group account credentials when members leave the group.,,Information System,,,,P1,0,0,0,0,2
62,AC-2 (11),2 (11),1,11,Usage Conditions,Usage Conditions,The information system enforces [Assignment: organization-defined circumstances and/or usage conditions] for [Assignment: organization-defined information system accounts].,Assignment: organization-defined circumstances and/or usage conditions,Information System,,,,P1,0,0,0,1,2
63,AC-2 (12)(a),2 (12)(a),1,(12)(a),Account Monitoring / Atypical Usage,Account Monitoring / Atypical Usage,The organization monitors information system accounts for [Assignment: organization-defined atypical usage].,Assignment: organization-defined atypical usage,Organization,,,,P1,0,0,0,1,2
64,AC-2 (12)(b),2 (12)(b),1,(12)(b),Account Monitoring / Atypical Usage,Account Monitoring / Atypical Usage,The organization reports atypical usage of information system accounts to [Assignment: organization-defined personnel or roles].,Assignment: organization-defined personnel or roles,Organization,,,,P1,0,0,0,1,2
65,AC-2 (13),2 (13),1,13,Disable Accounts For High-Risk Individuals,Disable Accounts For High-Risk Individuals,The organization disables accounts of users posing a significant risk within [Assignment: organization-defined time period] of discovery of the risk.,Assignment: organization-defined time period,Organization,,,,P1,0,0,0,1,2
66,AC-2 (2),2 (2),1,2,Removal Of Temporary / Emergency Accounts,Removal Of Temporary / Emergency Accounts,The information system automatically [Selection: removes; disables] temporary and emergency accounts after [Assignment: organization-defined time period for each type of account].,Selection: removes; disables,Information System,,,,P1,0,0,1,1,2
67,AC-2 (3),2 (3),1,3,Disable Inactive Accounts,Disable Inactive Accounts,The information system automatically disables inactive accounts after [Assignment: organization-defined time period].,Assignment: organization-defined time period,Information System,,,,P1,0,0,1,1,2
68,AC-2 (4),2 (4),1,4,Automated Audit Actions,Automated Audit Actions,"The information system automatically audits account creation, modification, enabling, disabling, and removal actions, and notifies [Assignment: organization-defined personnel or roles].",Assignment: organization-defined personnel or roles,Information System,,,,P1,0,0,1,1,2
69,AC-2 (5),2 (5),1,5,Inactivity Logout,Inactivity Logout,The organization requires that users log out when [Assignment: organization-defined time-period of expected inactivity or description of when to log out].,Assignment: organization-defined time-period of expected inactivity or description of when to log out,Organization,,,,P1,0,0,0,1,2
70,AC-2 (6),2 (6),1,6,Dynamic Privilege Management,Dynamic Privilege Management,The information system implements the following dynamic privilege management capabilities: [Assignment: organization-defined list of dynamic privilege management capabilities].,Assignment: organization-defined list of dynamic privilege management capabilities,Information System,,,,P1,0,0,0,0,2
71,AC-2 (7)(a),2 (7)(a),1,(7)(a),Role-Based Schemes,Role-Based Schemes,The organization establishes and administers privileged user accounts in accordance with a role-based access scheme that organizes allowed information system access and privileges into roles;,,Organization,,,,P1,0,0,0,0,2
72,AC-2 (7)(b),2 (7)(b),1,(7)(b),Role-Based Schemes,Role-Based Schemes,The organization monitors privileged role assignments.,,Organization,,,,P1,0,0,0,0,2
73,AC-2 (7)(c),2 (7)(c),1,(7)(c),Role-Based Schemes,Role-Based Schemes,The organization takes [Assignment: organization-defined actions] when privileged role assignments are no longer appropriate.,Assignment: organization-defined actions,Organization,,,,P1,0,0,0,0,2
74,AC-2 (8),2 (8),1,8,Dynamic Account Creation,Dynamic Account Creation,The information system creates [Assignment: organization-defined information system accounts] dynamically.,Assignment: organization-defined information system accounts,Information System,,,,P1,0,0,0,0,2
75,AC-2 (9),2 (9),1,9,Restrictions On Use Of Shared / Group Accounts,Restrictions On Use Of Shared / Group Accounts,The organization only permits the use of shared/group accounts that meet [Assignment: organization-defined conditions for establishing shared/group accounts].,Assignment: organization-defined conditions for establishing shared/group accounts,Organization,,,,P1,0,0,0,0,2
77,AC-20 (1)(a),20 (1)(a),1,(1)(a),Limits On Authorized Use,Limits On Authorized Use,"The organization permits authorized individuals to use an external information system to access the information system or to process, store, or transmit organization-controlled information only when the organization verifies the implementation of required security controls on the external system as specified in the organization∩┐╜s information security policy and security plan; or",,Organization,,,,P1,0,0,1,1,18
78,AC-20 (1)(b),20 (1)(b),1,(1)(b),Limits On Authorized Use,Limits On Authorized Use,"The organization permits authorized individuals to use an external information system to access the information system or to process, store, or transmit organization-controlled information only when the organization retains approved information system connection or processing agreements with the organizational entity hosting the external information system.",,Organization,,,,P1,0,0,1,1,18
79,AC-20 (2),20 (2),1,2,Portable Storage Devices,Portable Storage Devices,The organization [Selection: restricts; prohibits] the use of organization-controlled portable storage devices by authorized individuals on external information systems.,Selection: restricts; prohibits,Organization,,,,P1,0,0,1,1,18
80,AC-20 (3),20 (3),1,3,Non-Organizationally Owned Systems / Components / Devices,Non-Organizationally Owned Systems / Components / Devices,"The organization [Selection: restricts; prohibits] the use of non-organizationally owned information systems, system components, or devices to process, store, or transmit organizational information.",Selection: restricts; prohibits,Organization,,,,P1,0,0,0,0,18
81,AC-20 (4),20 (4),1,4,Network Accessible Storage Devices,Network Accessible Storage Devices,The organization prohibits the use of [Assignment: organization-defined network accessible storage devices] in external information systems.,Assignment: organization-defined network accessible storage devices,Organization,,,,P1,0,0,0,0,18
82,AC-20a,20a,0,,,,"The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allowing authorized individuals to access the information system from external information systems",,Organization,,,,P1,0,1,1,1,18
83,AC-20b,20b,0,,,,"The organization establishes terms and conditions, consistent with any trust relationships established with other organizations owning, operating, and/or maintaining external information systems, allowing authorized individuals to process, store, or transmit organization-controlled information using external information systems.",,Organization,,,,P1,0,1,1,1,18
85,AC-21 (1),21 (1),1,1,Automated Decision Support,Automated Decision Support,The information system enforces information-sharing decisions by authorized users based on access authorizations of sharing partners and access restrictions on information to be shared.,,Information System,,,,P2,0,0,0,0,19
86,AC-21 (2),21 (2),1,2,Information Search And Retrieval,Information Search And Retrieval,The information system implements information search and retrieval services that enforce [Assignment: organization-defined information sharing restrictions].,Assignment: organization-defined information sharing restrictions,Information System,,,,P2,0,0,0,0,19
87,AC-21a,21a,0,,,,The organization facilitates information sharing by enabling authorized users to determine whether access authorizations assigned to the sharing partner match the access restrictions on the information for [Assignment: organization-defined information sharing circumstance,,Organization,,,,P2,0,0,1,1,19
88,AC-21b,21b,0,,,,The organization employs [Assignment: organization-defined automated mechanisms or manual processes] to assist users in making information sharing/collaboration decisions.,Assignment: organization-defined automated mechanisms or manual processes,Organization,,,,P2,0,0,1,1,19
90,AC-22a,22a,0,,,,The organization designates individuals authorized to post information onto a publicly accessible information system;,,Organization,,,,P3,0,1,1,1,20
91,AC-22b,22b,0,,,,The organization trains authorized individuals to ensure that publicly accessible information does not contain nonpublic information;,,Organization,,,,P3,0,1,1,1,20
92,AC-22c,22c,0,,,,The organization reviews the proposed content of information prior to posting onto the publicly accessible information system to ensure that nonpublic information is not included.,,Organization,,,,P3,0,1,1,1,20
93,AC-22d,22d,0,,,,"The organization reviews the content on the publicly accessible information system for nonpublic information [Assignment: organization-defined frequency] and removes such information, if discovered.",Assignment: organization-defined frequency,Organization,,,,P3,0,1,1,1,20
94,AC-23,23,0,,,,The organization employs [Assignment: organization-defined data mining prevention and detection techniques] for [Assignment: organization-defined data storage objects] to adequately detect and protect against data mining.,Assignment: organization-defined data mining prevention and detection techniques,Organization,,,,P0,0,0,0,0,21
95,AC-24,24,0,,,,The organization establishes procedures to ensure [Assignment: organization-defined access control decisions] are applied to each access request prior to access enforcement.,Assignment: organization-defined access control decisions,Organization,,,,P0,0,0,0,0,22
96,AC-24 (1),24 (1),1,1,Transmit Access Authorization Information,Transmit Access Authorization Information,The information system transmits [Assignment: organization-defined access authorization information] using [Assignment: organization-defined security safeguards] to [Assignment: organization-defined information systems] that enforce access control decisions.,Assignment: organization-defined access authorization information,Information System,,,,P0,0,0,0,0,22
97,AC-24 (2),24 (2),1,2,No User Or Process Identity,No User Or Process Identity,The information system enforces access control decisions based on [Assignment: organization-defined security attributes] that do not include the identity of the user or process acting on behalf of the user.,Assignment: organization-defined security attributes,Information System,,,,P0,0,0,0,0,22
98,AC-25,25,0,,,,"The information system implements a reference monitor for [Assignment: organization-defined access control policies] that is tamperproof, always invoked, and small enough to be subject to analysis and testing, the completeness of which can be assured.",Assignment: organization-defined access control policies,Information System,,,,P0,1,0,0,0,23
99,AC-2a,2a,0,,,,The organization identifies and selects the following types of information system accounts to support organizational missions/business functions: [Assignment: organization-defined information system account types],Assignment: organization-defined information system account types,Organization,,,,P1,0,1,1,1,2
100,AC-2b,2b,0,,,,The organization assigns account managers for information system accounts,,Organization,,,,P1,0,1,1,1,2
101,AC-2c,2c,0,,,,The organization establishes conditions for group and role membership,,Organization,,,,P1,0,1,1,1,2
102,AC-2d,2d,0,,,,"The organization specifies authorized users of the information system, group and role membership, and access authorizations (i.e., privileges) and other attributes (as required) for each account",,Organization,,,,P1,0,1,1,1,2
103,AC-2e,2e,0,,,,The organization requires approvals by [Assignment: organization-defined personnel or roles] for requests to create information system accounts,Assignment: organization-defined personnel or roles,Organization,,,,P1,0,1,1,1,2
104,AC-2f,2f,0,,,,"The organization creates, enables, modifies, disables, and removes information system accounts in accordance with [Assignment: organization-defined procedures or conditions]",Assignment: organization-defined procedures or conditions,Organization,,,,P1,0,1,1,1,2
105,AC-2g,2g,0,,,,The organization monitors the use of information system accounts,,Organization,,,,P1,0,1,1,1,2
106,AC-2h.1,2h.1,0,,,,The organization notifies account managers when accounts are no longer required,,Organization,,,,P1,0,1,1,1,2
107,AC-2h.2,2h.2,0,,,,The organization notifies account managers when users are terminated or transferred,,Organization,,,,P1,0,1,1,1,2
108,AC-2h.3,2h.3,0,,,,The organization notifies account managers when individual information system usage or need-to-know changes,,Organization,,,,P1,0,1,1,1,2
109,AC-2i.1,2i.1,0,,,,The organization authorizes access to the information system based on a valid access authorization,,Organization,,,,P1,0,1,1,1,2
110,AC-2i.2,2i.2,0,,,,The organization authorizes access to the information system based on intended system usage,,Organization,,,,P1,0,1,1,1,2
111,AC-2i.3,2i.3,0,,,,The organization authorizes access to the information system based on other attributes as required by the organization or associated missions/business functions,,Organization,,,,P1,0,1,1,1,2
112,AC-2j,2j,0,,,,The organization reviews accounts for compliance with account management requirements [Assignment: organization-defined frequency],Assignment: organization-defined frequency,Organization,,,,P1,0,1,1,1,2
113,AC-2k,2k,0,,,,The organization establishes a process for reissuing shared/group account credentials (if deployed) when individuals are removed from the group.,,Organization,,,,P1,0,1,1,1,2
114,AC-3,3,0,,,,The information system enforces approved authorizations for logical access to information and system resources in accordance with applicable access control policies.,,Information System,,,,P1,0,1,1,1,3
115,AC-3 (10),3 (10),1,10,Audited Override Of Access Control Mechanisms,Audited Override Of Access Control Mechanisms,The organization employs an audited override of automated access control mechanisms under [Assignment: organization-defined conditions].,Assignment: organization-defined conditions,Organization,,,,P1,0,0,0,0,3
116,AC-3 (2),3 (2),1,2,Dual Authorization,Dual Authorization,The information system enforces dual authorization for [Assignment: organization-defined privileged commands and/or other organization-defined actions].,Assignment: organization-defined privileged commands and/or other organization-defined actions,Information System,,,,P1,0,0,0,0,3
117,AC-3 (3)(a),3 (3)(a),1,(3)(a),Mandatory Access Control,Mandatory Access Control,The information system enforces [Assignment: organization-defined mandatory access control policy] over all subjects and objects where the policy is uniformly enforced across all subjects and objects within the boundary of the information system;,Assignment: organization-defined mandatory access control policy,Information System,,,,P1,0,0,0,0,3
118,AC-3 (3)(b)(1),3 (3)(b)(1),1,(3)(b),Mandatory Access Control,Mandatory Access Control,The information system enforces [Assignment: organization-defined mandatory access control policy] over all subjects and objects where the policy specifies that a subject that has been granted access to information is constrained from doing any of the following: Passing the information to unauthorized subjects or objects;,Assignment: organization-defined mandatory access control policy,Information System,,,,P1,0,0,0,0,3
119,AC-3 (3)(b)(2),3 (3)(b)(2),1,(3)(b),Mandatory Access Control,Mandatory Access Control,The information system enforces [Assignment: organization-defined mandatory access control policy] over all subjects and objects where the policy specifies that a subject that has been granted access to information is constrained from doing any of the following: Granting its privileges to other subjects;,Assignment: organization-defined mandatory access control policy,Information System,,,,P1,0,0,0,0,3
120,AC-3 (3)(b)(3),3 (3)(b)(3),1,(3)(b),Mandatory Access Control,Mandatory Access Control,"The information system enforces [Assignment: organization-defined mandatory access control policy] over all subjects and objects where the policy specifies that a subject that has been granted access to information is constrained from doing any of the following: Changing one or more security attributes on subjects, objects, the information system, or information system components;",Assignment: organization-defined mandatory access control policy,Information System,,,,P1,0,0,0,0,3
121,AC-3 (3)(b)(4),3 (3)(b)(4),1,(3)(b),Mandatory Access Control,Mandatory Access Control,The information system enforces [Assignment: organization-defined mandatory access control policy] over all subjects and objects where the policy specifies that a subject that has been granted access to information is constrained from doing any of the following:  Choosing the security attributes and attribute values to be associated with newly created or modified objects; or,Assignment: organization-defined mandatory access control policy,Information System,,,,P1,0,0,0,0,3
122,AC-3 (3)(b)(5),3 (3)(b)(5),1,(3)(b),Mandatory Access Control,Mandatory Access Control,The information system enforces [Assignment: organization-defined mandatory access control policy] over all subjects and objects where the policy specifies that a subject that has been granted access to information is constrained from doing any of the following: Changing the rules governing access control.,Assignment: organization-defined mandatory access control policy,Information System,,,,P1,0,0,0,0,3
123,AC-3 (3)(c),3 (3)(c),1,(3)(c),Mandatory Access Control,Mandatory Access Control,"The information system enforces [Assignment: organization-defined mandatory access control policy] over all subjects and objects where the policy specifies that [Assignment: organization-defined subjects] may explicitly be granted [Assignment: organization-defined privileges (i.e., they are trusted subjects)] such that they are not limited by some or all of the above constraints.",Assignment: organization-defined mandatory access control policy,Information System,,,,P1,0,0,0,0,3
124,AC-3 (4)(a),3 (4)(a),1,(4)(a),Discretionary Access Control,Discretionary Access Control,The information system enforces [Assignment: organization-defined discretionary access control policy] over defined subjects and objects where the policy specifies that a subject that has been granted access to information can pass the information to any other subjects or objects;,Assignment: organization-defined discretionary access control policy,Information System,,,,P1,0,0,0,0,3
125,AC-3 (4)(b),3 (4)(b),1,(4)(b),Discretionary Access Control,Discretionary Access Control,The information system enforces [Assignment: organization-defined discretionary access control policy] over defined subjects and objects where the policy specifies that a subject that has been granted access to information can grant its privileges to other subjects;,Assignment: organization-defined discretionary access control policy,Information System,,,,P1,0,0,0,0,3
126,AC-3 (4)(c),3 (4)(c),1,(4)(c),Discretionary Access Control,Discretionary Access Control,"The information system enforces [Assignment: organization-defined discretionary access control policy] over defined subjects and objects where the policy specifies that a subject that has been granted access to information can change security attributes on subjects, objects, the information system, or the information system's components;",Assignment: organization-defined discretionary access control policy,Information System,,,,P1,0,0,0,0,3
127,AC-3 (4)(d),3 (4)(d),1,(4)(d),Discretionary Access Control,Discretionary Access Control,The information system enforces [Assignment: organization-defined discretionary access control policy] over defined subjects and objects where the policy specifies that a subject that has been granted access to information can choose the security attributes to be associated with newly created or revised objects; or,Assignment: organization-defined discretionary access control policy,Information System,,,,P1,0,0,0,0,3
