RMFTaskIndex,RMFID,RMFTaskID,RMFTask,RMFTaskDescription,RMFTaskTier,RMFStepIndex
26,RMF 2.S-4 ,S-4 ,DOCUMENTATION OF PLANNED CONTROL IMPLEMENTATIONS,Document the controls for the system and environment of operation in security and privacy plans.,,3
27,RMF 2.S-5 ,S-5 ,CONTINUOUS MONITORING STRATEGY,Develop and implement a system-level strategy for monitoring control effectiveness that is consistent with and supplements the organizational continuous monitoring strategy.,,3
28,RMF 2.S-6 ,S-6 ,PLAN REVIEW AND APPROVAL,Review and approve the security and privacy plans for the system and the environment of operation.,,3
29,RMF 3.I-1 ,I-1 ,CONTROL IMPLEMENTATION,Implement the controls in the security and privacy plans.,,4
30,RMF 3.I-2 ,I-2 ,UPDATE CONTROL IMPLEMENTATION INFORMATION,Document changes to planned control implementations based on the “as-implemented” state of controls,,4
31,RMF 4.A-1 ,A-1 ,ASSESSOR SELECTION,Select the appropriate assessor or assessment team for the type of control assessment to be conducted.,,5
32,RMF 4.A-2 ,A-2 ,ASSESSMENT PLAN,"Develop, review, and approve plans to assess implemented controls",,5
33,RMF 4.A-3 ,A-3 ,CONTROL ASSESSMENTS ,Assess the controls in accordance with the assessment procedures described in assessment plans.,,5
34,RMF 4.A-4 ,A-4 ,ASSESSMENT REPORTS ,Prepare the assessment reports documenting the findings and recommendations from the control assessments,,5
35,RMF 4.A-5 ,A-5 ,REMEDIATION ACTIONS,Conduct initial remediation actions on the controls and reassess remediated controls,,5
36,RMF 4.A-6 ,A-6 ,PLAN OF ACTION AND MILESTONES ,Prepare the plan of action and milestones based on the findings and recommendations of the assessment reports.,,5
37,RMF 5.R-1 ,R-1 ,AUTHORIZATION PACKAGE ,Assemble the authorization package and submit the package to the authorizing official for an authorization decision.,,6
38,RMF 5.R-2 ,R-2 ,RISK ANALYSIS AND DETERMINATION ,Analyze and determine the risk from the operation or use of the system or the provision of common controls.,,6
39,RMF 5.R-3,R-3,RISK RESPONSE,Identify and implement a preferred course of action in response to the risk determined.,,6
40,RMF 5.R-4 ,R-4 ,AUTHORIZATION DECISION,Determine if the risk from the operation or use of the information system or the provision or use of common controls is acceptable.,,6
41,RMF 5.R-5 ,R-5 ,AUTHORIZATION REPORTING,Report the authorization decision and any deficiencies in controls that represent significant security or privacy risk.,,6
42,RMF 6.M-1,M-1,SYSTEM AND ENVIRONMENT CHANGES,Monitor the information system and its environment of operation for changes that impact the security and privacy posture of the system.,,7
43,RMF 6.M-2 ,M-2 ,ONGOING ASSESSMENTS,Assess the controls implemented within and inherited by the system in accordance with the continuous monitoring strategy.,,7
44,RMF 6.M-3 ,M-3 ,ONGOING RISK RESPONSE,"Respond to risk based on the results of ongoing monitoring activities, risk assessments, and outstanding items in plans of action and milestones.",,7
45,RMF 6.M-4 ,M-4 ,AUTHORIZATION PACKAGE UPDATES,"Update plans, assessment reports, and plans of action and milestones based on the results of the continuous monitoring process",,7
46,RMF 6.M-5 ,M-5 ,SECURITY AND PRIVACY REPORTING,Report the security and privacy posture of the system to the authorizing official and other organizational officials on an ongoing basis in accordance with the organizational continuous monitoring strategy.,,7
47,RMF 6.M-6 ,M-6 ,ONGOING AUTHORIZATION,Review the security and privacy posture of the system on an ongoing basis to determine whether the risk remains acceptable.,,7
48,RMF 6.M-7 ,M-7 ,SYSTEM DISPOSAL,Implement a system disposal strategy and execute required actions when a system is removed from operation.,,7
