SP80053ControlDetailIndex,SP80053ID,SP80053ControlFamilyControlDetailID,SP80053ControlDetailID,SP80053ControlDetailEnhancement,SP80053ControlDetailEnhancementID,SP80053ControlDetailEnhancementTitle,SP80053ControlDetailDescription,SP80053ControlDetailAssignment,SP80053ControlDetailTier,SP80053ControlDetailDesignation,SP80053ControlDetailSupplementalGuidance,SP80053ControlDetailReference,SP80053ControlDetailPriority,SP80053ControlDetailAssurance,SP80053ControlDetailBaseline,SP80053ControlDetailBaselineMod,SP80053ControlDetailBaselineHigh,SP80053ControlIndex
481,SP 800-53 CP-4 (1),CP-4 (1),4 (1),1,(1),COORDINATE WITH RELATED PLANS,The organization coordinates contingency plan testing with organizational elements responsible for related plans.,,Organization,,,,P2,1,0,1,1,66
547,SP 800-53 IA-3 (1),IA-3 (1),3 (1),1,(1),CRYPTOGRAPHIC BIDIRECTIONAL AUTHENTICATION,The information system authenticates [Assignment: organization-defined specific devices and/or types of devices] before establishing [Selection (one or more): local; remote; network] connection using bidirectional authentication that is cryptographically based.,Assignment: organization-defined specific devices and/or types of devices,Information System,,,,P1,0,0,0,0,77
1330,SP 800-53 SC-8 (1),SC-8 (1),8 (1),1,(1),CRYPTOGRAPHIC OR ALTERNATE PHYSICAL PROTECTION,The information system implements cryptographic mechanisms to [Selection (one or more): prevent unauthorized disclosure of information; detect changes to information] during transmission unless otherwise protected by [Assignment: organization-defined alternative physical safeguards].,Selection (one or more): prevent unauthorized disclosure of information; detect changes to information,Information System,,,,P1,0,0,1,1,191
1238,SP 800-53 SC-28 (1),SC-28 (1),28 (1),1,(1),CRYPTOGRAPHIC PROTECTION,The information system implements cryptographic mechanisms to prevent unauthorized disclosure and modification of [Assignment: organization-defined information] on [Assignment: organization-defined information system components].,Assignment: organization-defined information,Information System,,,,P1,0,0,0,0,209
784,SP 800-53 PE-13 (1),PE-13 (1),13 (1),1,(1),DETECTION DEVICES / SYSTEMS,The organization employs fire detection devices/systems for the information system that activate automatically and notify [Assignment: organization-defined personnel or roles] and [Assignment: organization-defined emergency responders] in the event of a fire.,Assignment: organization-defined personnel or roles,Organization,,,,P1,0,0,0,1,121
763,SP 800-53 MP-8 (1),MP-8 (1),8 (1),1,(1),DOCUMENTATION OF PROCESS,The organization documents information system media downgrading actions.,,Organization,,,,P0,0,0,0,0,109
18,SP 800-53 AC-16 (1),AC-16 (1),16 (1),1,(1),DYNAMIC ATTRIBUTE ASSOCIATION,The information system dynamically associates security attributes with [Assignment: organization-defined subjects and objects] in accordance with [Assignment: organization-defined security policies] as information is created and combined.,Assignment: organization-defined subjects and objects,Information System,,,,P0,0,0,0,0,14
1279,SP 800-53 SC-40 (1),SC-40 (1),40 (1),1,(1),ELECTROMAGNETIC INTERFERENCE,The information system implements cryptographic mechanisms that achieve [Assignment: organization-defined level of protection] against the effects of intentional electromagnetic interference.,Assignment: organization-defined level of protection,Information System,,,,P0,0,0,0,0,220
1271,SP 800-53 SC-37 (1),SC-37 (1),37 (1),1,(1),ENSURE DELIVERY / TRANSMISSION,"The organization employs [Assignment: organization-defined security safeguards] to ensure that only [Assignment: organization-defined individuals or information systems] receive the [Assignment: organization-defined information, information system components, or devices].",Assignment: organization-defined security safeguards,Organization,,,,P0,1,0,0,0,217
202,SP 800-53 AT-3 (1),AT-3 (1),3 (1),1,(1),ENVIRONMENTAL CONTROLS,The organization provides [Assignment: organization-defined personnel or roles] with initial and [Assignment: organization-defined frequency] training in the employment and operation of environmental controls.,Assignment: organization-defined personnel or roles,Organization,,,,P1,1,0,0,0,26
782,SP 800-53 PE-12 (1),PE-12 (1),12 (1),1,(1),ESSENTIAL MISSIONS / BUSINESS FUNCTIONS,The organization provides emergency lighting for all areas within the facility supporting essential missions and business functions.,,Organization,,,,P1,0,0,0,0,120
801,SP 800-53 PE-18 (1),PE-18 (1),18 (1),1,(1),FACILITY SITE,"The organization plans the location or site of the facility where the information system resides with regard to physical and environmental hazards and for existing facilities, considers the physical and environmental hazards in its risk mitigation strategy.",,Organization,,,,P3,0,0,0,0,126
1147,SP 800-53 SA-4 (1),SA-4 (1),4 (1),1,(1),FUNCTIONAL PROPERTIES OF SECURITY CONTROLS,"The organization requires the developer of the information system, system component, or information system service to provide a description of the functional properties of the security controls to be employed.",,Organization,,,,P1,1,0,1,1,167
1274,SP 800-53 SC-39 (1),SC-39 (1),39 (1),1,(1),HARDWARE SEPARATION,The information system implements underlying hardware separation mechanisms to facilitate process separation.,,Information System,,,,P1,1,0,0,0,219
1243,SP 800-53 SC-3 (1),SC-3 (1),3 (1),1,(1),HARDWARE SEPARATION,The information system utilizes underlying hardware separation mechanisms to implement security function isolation.,,Information System,,,,P1,1,0,0,0,186
287,SP 800-53 AU-9 (1),AU-9 (1),9 (1),1,(1),HARDWARE WRITE-ONCE MEDIA,"The information system writes audit trails to hardware-enforced, write-once media.",,Information System,,,,P1,0,0,0,0,36
1206,SP 800-53 SC-18 (1),SC-18 (1),18 (1),1,(1),IDENTIFY UNACCEPTABLE CODE / TAKE CORRECTIVE ACTIONS,The information system identifies [Assignment: organization-defined unacceptable mobile code] and takes [Assignment: organization-defined corrective actions].,Assignment: organization-defined unacceptable mobile code,Information System,,,,P2,0,0,0,0,199
239,SP 800-53 AU-16 (1),AU-16 (1),16 (1),1,(1),IDENTITY PRESERVATION,The organization requires that the identity of individuals be preserved in cross-organizational audit trails.,,Organization,,,,P0,0,0,0,0,43
326,SP 800-53 CA-7 (1),CA-7 (1),7 (1),1,(1),INDEPENDENT ASSESSMENT,The organization employs assessors or assessment teams with [Assignment: organization-defined level of independence] to monitor the security controls in the information system on an ongoing basis.,Assignment: organization-defined level of independence,Organization,,,,P2,1,0,1,1,49
299,SP 800-53 CA-2 (1),CA-2 (1),2 (1),1,(1),INDEPENDENT ASSESSORS,The organization employs assessors or assessment teams with [Assignment: organization-defined level of independence] to conduct security control assessments.,Assignment: organization-defined level of independence,Organization,,,,P2,1,0,1,1,45
336,SP 800-53 CA-8 (1),CA-8 (1),8 (1),1,(1),INDEPENDENT PENETRATION AGENT OR TEAM,The organization employs an independent penetration agent or penetration team to perform penetration testing on the information system or system components.,,Organization,,,,P2,1,0,0,0,50
607,SP 800-53 IA-9 (1),IA-9 (1),9 (1),1,(1),INFORMATION EXCHANGE,"The organization ensures that service providers receive, validate, and transmit identification and authentication information.",,Organization,,,,P0,0,0,0,0,83
820,SP 800-53 PE-3 (1),PE-3 (1),3 (1),1,(1),INFORMATION SYSTEM ACCESS,The organization enforces physical access authorizations to the information system in addition to the physical access controls for the facility at [Assignment: organization-defined physical spaces containing one or more components of the information system].,Assignment: organization-defined physical spaces containing one or more components of the information system,Organization,,,,P1,0,0,0,1,112
690,SP 800-53 MA-3 (1),MA-3 (1),3 (1),1,(1),INSPECT TOOLS,The organization inspects the maintenance tools carried into a facility by maintenance personnel for improper or unauthorized modifications.,,Organization,,,,P3,0,0,1,1,98
1439,SP 800-53 SI-7 (1),SI-7 (1),7 (1),1,(1),INTEGRITY CHECKS,"The information system performs an integrity check of [Assignment: organization-defined software, firmware, and information] [Selection (one or more): at startup; at [Assignment: organization-defined transitional states or security-relevant events]; [Assignment: organizationdefined frequency]].","Assignment: organization-defined software, firmware, and information",Information System,,,,P1,1,0,1,1,231
1203,SP 800-53 SC-16 (1),SC-16 (1),16 (1),1,(1),INTEGRITY VALIDATION,The information system validates the integrity of transmitted security attributes.,,Information System,,,,P0,0,0,0,0,197
1222,SP 800-53 SC-2 (1),SC-2 (1),2 (1),1,(1),INTERFACES FOR NON-PRIVILEGED USERS,The information system prevents the presentation of information system management-related functionality at an interface for non-privileged users.,,Information System,,,,P1,1,0,0,0,185
842,SP 800-53 PE-6 (1),PE-6 (1),6 (1),1,(1),INTRUSION ALARMS / SURVEILLANCE EQUIPMENT,The organization monitors physical intrusion alarms and surveillance equipment.,,Organization,,,,P1,1,0,1,1,115
1230,SP 800-53 SC-23 (1),SC-23 (1),23 (1),1,(1),INVALIDATE SESSION IDENTIFIERS AT LOGOUT,The information system invalidates session identifiers upon user logout or other session termination.,,Information System,,,,P1,0,0,0,0,204
1190,SP 800-53 SC-11 (1),SC-11 (1),11 (1),1,(1),LOGICAL ISOLATION,The information system provides a trusted communications path that is logically isolated and distinguishable from other paths.,,Information System,,,,P0,1,0,0,0,193
777,SP 800-53 PE-11 (1),PE-11 (1),11 (1),1,(1),LONG-TERM ALTERNATE POWER SUPPLY - MINIMAL OPERATIONAL CAPABILITY,The organization provides a long-term alternate power supply for the information system that is capable of maintaining minimally required operational capability in the event of an extended loss of the primary power source.,,Organization,,,,P1,0,0,0,1,119
222,SP 800-53 AU-11 (1),AU-11 (1),11 (1),1,(1),LONG-TERM RETRIEVAL CAPABILITY,The organization employs [Assignment: organization-defined measures] to ensure that long-term audit records generated by the information system can be retrieved.,Assignment: organization-defined measures,Organization,,,,P3,1,0,0,0,39
1115,SP 800-53 SA-18 (1),SA-18 (1),18 (1),1,(1),MULTIPLE PHASES OF SDLC,"The organization employs anti-tamper technologies and techniques during multiple phases in the system development life cycle including design, development, integration, operations, and maintenance.",,Organization,,,,P0,1,0,0,0,179
803,SP 800-53 PE-19 (1),PE-19 (1),19 (1),1,(1),NATIONAL EMISSIONS / TEMPEST POLICIES AND PROCEDURES,"The organization ensures that information system components, associated data communications, and networks are protected in accordance with national emissions and TEMPEST policies and procedures based on the security category or classification of the information.",,Organization,,,,P0,0,0,0,0,127
533,SP 800-53 IA-2 (1),IA-2 (1),2 (1),1,(1),NETWORK ACCESS TO PRIVILEGED ACCOUNTS,The information system implements multifactor authentication for network access to privileged accounts.,,Information System,,,,P1,0,1,1,1,76
1261,SP 800-53 SC-34 (1),SC-34 (1),34 (1),1,(1),NO WRITABLE STORAGE,The organization employs [Assignment: organization-defined information system components] with no writeable storage that is persistent across component restart or power on/off.,Assignment: organization-defined information system components,Organization,,,,P0,1,0,0,0,214
135,SP 800-53 AC-4 (1),AC-4 (1),4 (1),1,(1),OBJECT SECURITY ATTRIBUTES,"The information system uses [Assignment: organization-defined security attributes] associated with [Assignment: organization-defined information, source, and destination objects] to enforce [Assignment: organization-defined information flow control policies] as a basis for flow control decisions.",Assignment: organization-defined security attributes,Information System,,,,P1,0,0,0,0,4
344,SP 800-53 CM-10 (1),CM-10 (1),10 (1),1,(1),OPEN SOURCE SOFTWARE,The organization establishes the following restrictions on the use of open source software: [Assignment: organization-defined restrictions].,Assignment: organization-defined restrictions,Organization,,,,P2,0,0,0,0,61
8,SP 800-53 AC-11 (1),AC-11 (1),11 (1),1,(1),PATTERN-HIDING DISPLAYS,"The information system conceals, via the session lock, information previously visible on the display with a publicly viewable image.",,Information System,,,,P3,0,0,1,1,11
1197,SP 800-53 SC-15 (1),SC-15 (1),15 (1),1,(1),PHYSICAL DISCONNECT,The information system provides physical disconnect of collaborative computing devices in a manner that supports ease of use.,,Information System,,,,P1,0,0,0,0,196
1269,SP 800-53 SC-36 (1),SC-36 (1),36 (1),1,(1),POLLING TECHNIQUES,"The organization employs polling techniques to identify potential faults, errors, or compromises to [Assignment: organization-defined distributed processing and storage components].",Assignment: organization-defined distributed processing and storage components,Organization,,,,P0,1,0,0,0,216
196,SP 800-53 AT-2 (1),AT-2 (1),2 (1),1,(1),PRACTICAL EXERCISES,The organization includes practical exercises in security awareness training that simulate actual cyber attacks.,,Organization,,,,P1,1,0,0,0,25
728,SP 800-53 MA-6 (1),MA-6 (1),6 (1),1,(1),PREVENTIVE MAINTENANCE,The organization performs preventive maintenance on [Assignment: organization-defined information system components] at [Assignment: organization-defined time intervals].,Assignment: organization-defined information system components,Organization,,,,P2,0,0,0,0,101
264,SP 800-53 AU-6 (1),AU-6 (1),6 (1),1,(1),PROCESS INTEGRATION,"The organization employs automated mechanisms to integrate audit review, analysis, and reporting processes to support organizational processes for investigation and response to suspicious activities.",,Organization,,,,P1,1,0,1,1,33
552,SP 800-53 IA-4 (1),IA-4 (1),4 (1),1,(1),PROHIBIT ACCOUNT IDENTIFIERS AS PUBLIC IDENTIFIERS,The organization prohibits the use of information system account identifiers that are the same as public identifiers for individual electronic mail accounts.,,Organization,,,,P1,0,0,0,0,78
760,SP 800-53 MP-7 (1),MP-7 (1),7 (1),1,(1),PROHIBIT USE WITHOUT OWNER,The organization prohibits the use of portable storage devices in organizational information systems when such devices have no identifiable owner.,,Organization,,,,P1,0,0,1,1,108
854,SP 800-53 PE-9 (1),PE-9 (1),9 (1),1,(1),REDUNDANT CABLING,The organization employs redundant power cabling paths that are physically separated by [Assignment: organization-defined distance].,Assignment: organization-defined distance,Organization,,,,P1,0,0,0,0,117
1356,SP 800-53 SI-14 (1),SI-14 (1),14 (1),1,(1),REFRESH FROM TRUSTED SOURCES,The organization ensures that software and data employed during information system component and service refreshes are obtained from [Assignment: organization-defined trusted sources].,Assignment: organization-defined trusted sources,Organization,,,,P0,1,0,0,0,237
1285,SP 800-53 SC-42 (1),SC-42 (1),42 (1),1,(1),REPORTING TO AUTHORIZED INDIVIDUALS OR ROLES,The organization ensures that the information system is configured so that data or information collected by the [Assignment: organization-defined sensors] is only reported to authorized individuals or roles.,Assignment: organization-defined sensors,Organization,,,,P0,0,0,0,0,222
665,SP 800-53 IR-9 (1),IR-9 (1),9 (1),1,(1),RESPONSIBLE PERSONNEL,The organization assigns [Assignment: organization-defined personnel or roles] with responsibility for responding to information spills.,Assignment: organization-defined personnel or roles,Organization,,,,P0,0,0,0,0,94
1295,SP 800-53 SC-5 (1),SC-5 (1),5 (1),1,(1),RESTRICT INTERNAL USERS,The information system restricts the ability of individuals to launch [Assignment: organization-defined denial of service attacks] against other information systems.,Assignment: organization-defined denial of service attacks,Information System,,,,P1,0,0,0,0,188
752,SP 800-53 MP-6 (1),MP-6 (1),6 (1),1,(1),REVIEW / APPROVE / TRACK / DOCUMENT / VERIFY,"The organization reviews, approves, tracks, documents, and verifies media sanitization and disposal actions.",,Organization,,,,P1,0,0,0,1,107
339,SP 800-53 CA-9 (1),CA-9 (1),9 (1),1,(1),SECURITY COMPLIANCE CHECKS,The information system performs security compliance checks on constituent system components prior to the establishment of the internal connection.,,Information System,,,,P2,1,0,0,0,51
388,SP 800-53 CM-4 (1),CM-4 (1),4 (1),1,(1),SEPARATE TEST ENVIRONMENTS,"The organization analyzes changes to the information system in a separate test environment before implementation in an operational environment, looking for security impacts due to flaws, weaknesses, incompatibility, or intentional malice.",,Organization,,,,P2,1,0,0,1,55
497,SP 800-53 CP-7 (1),CP-7 (1),7 (1),1,(1),SEPARATION FROM PRIMARY SITE,The organization identifies an alternate processing site that is separated from the primary processing site to reduce susceptibility to the same threats.,,Organization,,,,P1,0,0,1,1,68
491,SP 800-53 CP-6 (1),CP-6 (1),6 (1),1,(1),SEPARATION FROM PRIMARY SITE,The organization identifies an alternate storage site that is separated from the primary storage site to reduce susceptibility to the same threats.,,Organization,,,,P1,0,0,1,1,67
475,SP 800-53 CP-3 (1),CP-3 (1),3 (1),1,(1),SIMULATED EVENTS,The organization incorporates simulated events into contingency training to facilitate effective response by personnel in crisis situations.,,Organization,,,,P2,1,0,0,1,65
616,SP 800-53 IR-2 (1),IR-2 (1),2 (1),1,(1),SIMULATED EVENTS,The organization incorporates simulated events into incident response training to facilitate effective response by personnel in crisis situations.,,Organization,,,,P2,1,0,0,1,87
878,SP 800-53 PL-4 (1),PL-4 (1),4 (1),1,(1),SOCIAL MEDIA AND NETWORKING RESTRICTIONS,"The organization includes in the rules of behavior, explicit restrictions on the use of social media/networking sites and posting organizational information on public websites.",,Organization,,,,P2,1,0,1,1,131
1024,SP 800-53 SA-10 (1),SA-10 (1),10 (1),1,(1),SOFTWARE / FIRMWARE INTEGRITY VERIFICATION,"The organization requires the developer of the information system, system component, or information system service to enable integrity verification of software and firmware components.",,Organization,,,,P1,1,0,0,0,171
1036,SP 800-53 SA-11 (1),SA-11 (1),11 (1),1,(1),STATIC CODE ANALYSIS,"The organization requires the developer of the information system, system component, or information system service to employ static code analysis tools to identify common flaws and document the results of the analysis.",,Organization,,,,P1,1,0,0,0,172
234,SP 800-53 AU-14 (1),AU-14 (1),14 (1),1,(1),SYSTEM START-UP,The information system initiates session audits at system start-up.,,Information System,,,,P0,1,0,0,0,41
224,SP 800-53 AU-12 (1),AU-12 (1),12 (1),1,(1),SYSTEM-WIDE / TIME-CORRELATED AUDIT TRAIL,The information system compiles audit records from [Assignment: organization-defined information system components] into a system-wide (logical or physical) audit trail that is timecorrelated to within [Assignment: organization-defined level of tolerance for the relationship between time stamps of individual records in the audit trail].,Assignment: organization-defined information system components,Information System,,,,P1,0,0,0,1,39
1392,SP 800-53 SI-4 (1),SI-4 (1),4 (1),1,(1),SYSTEM-WIDE INTRUSION DETECTION SYSTEM,The organization connects and configures individual intrusion detection tools into an information system-wide intrusion detection system.,,Organization,,,,P1,1,0,0,0,228
1254,SP 800-53 SC-31 (1),SC-31 (1),31 (1),1,(1),TEST COVERT CHANNELS FOR EXPLOITABILITY,The organization tests a subset of the identified covert channels to determine which channels are exploitable.,,Organization,,,,P0,1,0,0,0,212
515,SP 800-53 CP-9 (1),CP-9 (1),9 (1),1,(1),TESTING FOR RELIABILITY / INTEGRITY,The organization tests backup information [Assignment: organization-defined frequency] to verify media reliability and information integrity.,Assignment: organization-defined frequency,Organization,,,,P1,0,0,1,1,70
255,SP 800-53 AU-4 (1),AU-4 (1),4 (1),1,(1),TRANSFER TO ALTERNATE STORAGE,The information system off-loads audit records [Assignment: organization-defined frequency] onto a different system or media than the system being audited.,Assignment: organization-defined frequency,Information System,,,,P1,0,0,0,0,31
1348,SP 800-53 SI-13 (1),SI-13 (1),13 (1),1,(1),TRANSFERRING COMPONENT RESPONSIBILITIES,The organization takes information system components out of service by transferring component responsibilities to substitute components no later than [Assignment: organization-defined fraction or percentage] of mean time to failure.,Assignment: organization-defined fraction or percentage,Organization,,,,P0,1,0,0,0,236
96,SP 800-53 AC-24 (1),AC-24 (1),24 (1),1,(1),TRANSMIT ACCESS AUTHORIZATION INFORMATION,The information system transmits [Assignment: organization-defined access authorization information] using [Assignment: organization-defined security safeguards] to [Assignment: organization-defined information systems] that enforce access control decisions.,Assignment: organization-defined access authorization information,Information System,,,,P0,0,0,0,0,22
309,SP 800-53 CA-3 (1),CA-3 (1),3 (1),1,(1),UNCLASSIFIED NATIONAL SECURITY SYSTEM CONNECTIONS,"The organization prohibits the direct connection of an [Assignment: organization-defined unclassified, national security system] to an external network without the use of [Assignment: organization-defined boundary protection device].","Assignment: organization-defined unclassified, national security system",Organization,,,,P1,0,0,0,0,46
186,SP 800-53 AC-9 (1),AC-9 (1),9 (1),1,(1),UNSUCCESSFUL LOGONS,"The information system notifies the user, upon successful logon/access, of the number of unsuccessful logon/access attempts since the last successful logon/access.",,Information System,,,,P0,0,0,0,0,9
