CSFRMFIndex,CSFID,CSFSubcategoryIndex,RMFTaskIndex,RMFID,,,,,,,,,,,,,,,,,,,,,,,,,,
80,CSF ID.GV-4,66,10,RMF 0.P-17 ,,,,,,,,,,,,,,,,,,,,,,,,,,
81,CSF ID.GV-4,66,11,RMF 0.P-18,,,,,,,,,,,,,,,,,,,,,,,,,,
82,CSF ID.GV-4,66,27,RMF 2.S-5 ,,,,,,,,,,,,,,,,,,,,,,,,,,
83,CSF ID.GV-4,66,42,RMF 6.M-1,,,,,,,,,,,,,,,,,,,,,,,,,,
84,CSF RS.IM-1,69,45,RMF 6.M-4 ,,,,,,,,,,,,,,,,,,,,,,,,,,
85,CSF RS.IM-2,70,45,RMF 6.M-4 ,,,,,,,,,,,,,,,,,,,,,,,,,,
86,CSF PR.IP-6,71,8,RMF 0.P-15 ,,,,,,,,,,,,,,,,,,,,,,,,,,
87,CSF PR.IP-6,71,25,RMF 2.S-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
88,CSF PR.IP-2,72,8,RMF 0.P-15 ,,,,,,,,,,,,,,,,,,,,,,,,,,
89,CSF PR.IP-2,72,25,RMF 2.S-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
90,CSF PR.IP-2,72,29,RMF 3.I-1 ,,,,,,,,,,,,,,,,,,,,,,,,,,
91,CSF PR.IP-1,73,8,RMF 0.P-15 ,,,,,,,,,,,,,,,,,,,,,,,,,,
92,CSF PR.IP-1,73,25,RMF 2.S-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
93,CSF PR.IP-1,73,29,RMF 3.I-1 ,,,,,,,,,,,,,,,,,,,,,,,,,,
94,CSF PR.IP-1,73,30,RMF 3.I-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,
95,CSF PR.IP-12,74,8,RMF 0.P-15 ,,,,,,,,,,,,,,,,,,,,,,,,,,
96,CSF PR.IP-12,74,25,RMF 2.S-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
97,CSF PR.IP-3,75,8,RMF 0.P-15 ,,,,,,,,,,,,,,,,,,,,,,,,,,
98,CSF PR.IP-3,75,25,RMF 2.S-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
99,CSF PR.IP-4,76,8,RMF 0.P-15 ,,,,,,,,,,,,,,,,,,,,,,,,,,
100,CSF PR.IP-4,76,25,RMF 2.S-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
101,CSF PR.IP-5,77,8,RMF 0.P-15 ,,,,,,,,,,,,,,,,,,,,,,,,,,
102,CSF PR.IP-5,77,25,RMF 2.S-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
103,CSF PR.IP-7,78,8,RMF 0.P-15 ,,,,,,,,,,,,,,,,,,,,,,,,,,
104,CSF PR.IP-7,78,25,RMF 2.S-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
105,CSF PR.IP-8,79,8,RMF 0.P-15 ,,,,,,,,,,,,,,,,,,,,,,,,,,
106,CSF PR.IP-8,79,25,RMF 2.S-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
107,CSF PR.IP-9,80,8,RMF 0.P-15 ,,,,,,,,,,,,,,,,,,,,,,,,,,
108,CSF PR.IP-9,80,25,RMF 2.S-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
109,CSF PR.IP-10,81,8,RMF 0.P-15 ,,,,,,,,,,,,,,,,,,,,,,,,,,
110,CSF PR.IP-10,81,25,RMF 2.S-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
111,CSF PR.IP-11,82,8,RMF 0.P-15 ,,,,,,,,,,,,,,,,,,,,,,,,,,
112,CSF PR.IP-11,82,25,RMF 2.S-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
113,CSF ID.RA-4,93,7,RMF 0.P-14 ,,,,,,,,,,,,,,,,,,,,,,,,,,
114,CSF ID.RA-4,93,13,RMF 0.P-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
115,CSF ID.RA-5,94,7,RMF 0.P-14 ,,,,,,,,,,,,,,,,,,,,,,,,,,
116,CSF ID.RA-5,94,7,RMF 0.P-14 ,,,,,,,,,,,,,,,,,,,,,,,,,,
117,CSF ID.RA-6,95,7,RMF 0.P-14 ,,,,,,,,,,,,,,,,,,,,,,,,,,
118,CSF ID.RA-6,95,13,RMF 0.P-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
119,CSF ID.RA-6,95,36,RMF 4.A-6 ,,,,,,,,,,,,,,,,,,,,,,,,,,
120,CSF ID.RA-6,95,39,RMF 5.R-3,,,,,,,,,,,,,,,,,,,,,,,,,,
121,CSF ID.RA-1,96,7,RMF 0.P-14 ,,,,,,,,,,,,,,,,,,,,,,,,,,
122,CSF ID.RA-1,96,13,RMF 0.P-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
123,CSF ID.RA-2,97,7,RMF 0.P-14 ,,,,,,,,,,,,,,,,,,,,,,,,,,
124,CSF ID.RA-2,97,13,RMF 0.P-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
125,CSF ID.RA-3,98,7,RMF 0.P-14 ,,,,,,,,,,,,,,,,,,,,,,,,,,
126,CSF ID.RA-3,98,13,RMF 0.P-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
127,CSF ID.RM-1,99,12,RMF 0.P-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,
128,CSF ID.RM-2,100,12,RMF 0.P-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,
129,CSF ID.RM-3,101,12,RMF 0.P-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,
130,CSF ID.SC-1,104,12,RMF 0.P-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,
131,CSF ID.SC-1,104,13,RMF 0.P-3 ,,,,,,,,,,,,,,,,,,,,,,,,,,
132,CSF ID.SC-2,105,7,RMF 0.P-14 ,,,,,,,,,,,,,,,,,,,,,,,,,,
133,CSF ID.SC-2,105,12,RMF 0.P-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,
134,CSF ID.SC-3,106,12,RMF 0.P-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,
135,CSF ID.SC-4,107,12,RMF 0.P-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,
136,CSF ID.SC-4,107,17,RMF 0.P-7 ,,,,,,,,,,,,,,,,,,,,,,,,,,
137,CSF ID.SC-4,107,43,RMF 6.M-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,
138,CSF ID.SC-5,108,12,RMF 0.P-2 ,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
