CSFSubcategoryID,CSFSubcategoryDescription,CSFCategoryID
PR.DS-7,The development and testing environment(s) are separate from the production environment,PR.DS
PR.DS-8,Integrity checking mechanisms are used to verify hardware integrity,PR.DS
ID.GV-1,Organizational cybersecurity policy is established and communicated,ID.GV
ID.GV-2,Cybersecurity roles and responsibilities are coordinated and aligned with internal roles and external partners,ID.GV
ID.GV-3,"Legal and regulatory requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed",ID.GV
ID.GV-4,Governance and risk management processes address cybersecurity risks,ID.GV
RC.IM-1,Recovery plans incorporate lessons learned,RC.IM
RC.IM-2,Recovery strategies are updated,RC.IM
RS.IM-1,Response plans incorporate lessons learned,RS.IM
RS.IM-2,Response strategies are updated,RS.IM
PR.IP-6,Data is destroyed according to policy,PR.IP
PR.IP-2,A System Development Life Cycle to manage systems is implemented,PR.IP
PR.IP-1,A baseline configuration of information technology/industrial control systems is created and maintained incorporating security principles (e.g. concept of least functionality),PR.IP
PR.IP-12,A vulnerability management plan is developed and implemented,PR.IP
PR.IP-3,Configuration change control processes are in place,PR.IP
PR.IP-4,"Backups of information are conducted, maintained, and tested ",PR.IP
PR.IP-5,Policy and regulations regarding the physical operating environment for organizational assets are met,PR.IP
PR.IP-7,Protection processes are improved,PR.IP
PR.IP-8,Effectiveness of protection technologies is shared,PR.IP
PR.IP-9,Response plans (Incident Response and Business Continuity) and recovery plans (Incident Recovery and Disaster Recovery) are in place and managed,PR.IP
PR.IP-10,Response and recovery plans are tested,PR.IP
PR.IP-11,"Cybersecurity is included in human resources practices (e.g., deprovisioning, personnel screening)",PR.IP
PR.MA-1,"Maintenance and repair of organizational assets are performed and logged, with approved and controlled tools",PR.MA
PR.MA-2,"Remote maintenance of organizational assets is approved, logged, and performed in a manner that prevents unauthorized access",PR.MA
RS.MI-1,Incidents are contained,RS.MI
RS.MI-2,Incidents are mitigated,RS.MI
RS.MI-3,Newly identified vulnerabilities are mitigated or documented as accepted risks,RS.MI
PR.PT-1,"Audit/log records are determined, documented, implemented, and reviewed in accordance with policy",PR.PT
PR.PT-2,Removable media is protected and its use restricted according to policy,PR.PT
PR.PT-3,The principle of least functionality is incorporated by configuring systems to provide only essential capabilities,PR.PT
PR.PT-4,Communications and control networks are protected,PR.PT
PR.PT-5,"Mechanisms (e.g., failsafe, load balancing, hot swap) are implemented to achieve resilience requirements in normal and adverse situations",PR.PT
ID.RA-4,Potential business impacts and likelihoods are identified,ID.RA
ID.RA-5,"Threats, vulnerabilities, likelihoods, and impacts are used to determine risk",ID.RA
ID.RA-6,Risk responses are identified and prioritized,ID.RA
ID.RA-1,Asset vulnerabilities are identified and documented,ID.RA
ID.RA-2,Cyber threat intelligence is received from information sharing forums and sources,ID.RA
ID.RA-3,"Threats, both internal and external, are identified and documented",ID.RA
ID.RM-1,"Risk management processes are established, managed, and agreed to by organizational stakeholders",ID.RM
ID.RM-2,Organizational risk tolerance is determined and clearly expressed,ID.RM
ID.RM-3,The organization's determination of risk tolerance is informed by its role in critical infrastructure and sector specific risk analysis,ID.RM
RC.RP-1,Recovery plan is executed during or after a cybersecurity incident ,RC.RP
RS.RP-1,Response plan is executed during or after an incident,RS.RP
ID.SC-1,"Cyber supply chain risk management processes are identified, established, assessed, managed, and agreed to by organizational stakeholders",ID.SC
ID.SC-2,"Suppliers and third party partners of information systems, components, and services are identified, prioritized, and assessed using a cyber supply chain risk assessment process ",ID.SC
ID.SC-3,Contracts with suppliers and third-party partners are used to implement appropriate measures designed to meet the objectives of an organization's cybersecurity program and Cyber Supply Chain Risk Management Plan.,ID.SC
ID.SC-4,"Suppliers and third-party partners are routinely assessed using audits, test results, or other forms of evaluations to confirm they are meeting their contractual obligations.",ID.SC
ID.SC-5,Response and recovery planning and testing are conducted with suppliers and third-party providers,ID.SC
